Device,ReviewText,SubmissionTime,Title,UserNickname
Samsung Galaxy s285,"Faster and better screen resolution than S5 and S6, more options better camera and blue tooth connection.",1/22/2017,Galaxy S7,katymar
Samsung Galaxy s286,"I was a huge fan of the Nokia Lumia line of phones, but Verizon stopped carrying the upgrades for this line, and the selection of Windows apps was dismal. Switching to this phone has been great - there are an indefinite number of apps for Google Play, it's user-friendly, and it has some great capabilities with my Samsung Galaxy Tab A. While I feel that my Nokia Lumia took better nighttime photos, I am overall happy with this phone's camera and the ease with which I can turn data, wifi and location on and off and the ""power save"" mode, all which help save on battery life. There is very little that I miss from my old phone - mostly a couple of games specific to Windows/Xbox. Every app I had on that phone, there are at least 5 similar offerings on Google Play. Also love that it isn't too large for my small girl-hands to hold.",1/22/2017,"Loved my Windows phone, but this is a great replacement!",krystlechc
Samsung Galaxy s287,Only miss my larger screen and pen with Samsung Note 5.  That's all I have to note..................,1/22/2017,Easy transition to S7,Ridiculous2
Samsung Galaxy s288,"A tremendous upgrade from my S5, simply put, better in every way!  But still way too early for me to make a valid review.",1/22/2017,My opinion up to this point.,Trnix
Samsung Galaxy s289,Better than my old phone was. The review guestions are to long for the required information bla bla bla,1/22/2017,New phone,Tab 1
Samsung Galaxy s290,Good device i recomended.......................................................... .  .......    .....,1/22/2017,Awesome... recommended,Nerudas
Samsung Galaxy s291,"Really good phone. The on-board features are great and fun to use, such as being able to make the screen smaller and shift to the side for one handed use. Runs all my apps with ease",1/22/2017,Awesome,Rastagoat
Samsung Galaxy s292,"Easy to use and fun to navigate, with just the right amount of buttons you need. Once you get used to the format, it's a breeze getting around and easy to clear the cache. I like that it works the same way as my Samsung 9.6 tablet so no added learning curve.",1/22/2017,Easy to use and fun to navigate,nonnatoni
Samsung Galaxy s293,"I'll admit that I'm not very tech savvy and my prior phone (iPhone) really made me feel dumb. 
I was always bugging anyone I knew that had one with so many questions. 
I counted down the days until I was eligible for an upgrade. 
My son and sister both have Samsung phones and had told me on numerous occasions that I would be much happier with one. 
I now have the Samsung GalaxyS7 and I love it. 
It's only been a week but I feel like I already have mastered so much more on this phone than the other one I had for years.",1/22/2017,Easier than iPhone,Cherry8
Samsung Galaxy s294,This phone has a better display and speaker than my S4. The camera makes better quality pictures. Easy to operate,1/21/2017,Love it!!,Zoeysnana
Samsung Galaxy s295,Split screen is a winner and battery and power  saving features are simply awesome.  Love the screen clarity and sharp camera.,1/21/2017,New S7: Happy with upgrade and anxious to learn new features.  So far....a definite 10!!  Still need to get familiar with many of the features.,Slsgs7
Samsung Galaxy s296,I upgraded from an S4 to an S7 and I really love this phone.  I love the finergprint ID feature to unlock the phone and many of the other features of this phone.,2/1/2017,S7 Upgrade,MyS7upgrade
Samsung Galaxy s297,This is a great phone. It is easy to use. I love the in the gold color. This is my 3rd Galaxy home and I've been very happy with every one of them. I highly recommend this phone.,1/20/2017,Nice phone,Lilac339
Samsung Galaxy s298,"The screen is nice and clear. Easy to use, the set up is easy. I really like the Samsung Galaxy S7. My information was put on to my new phone with no problem.
I did not lose any of my pictures or contacts. I am a happy customer.",1/20/2017,Easy to use.,the force will be with me
Samsung Galaxy s299,Love samsung galaxy and love Verizon best service all around. Easy accessible to online and customer service,1/20/2017,Great product,Mon3030
Samsung Galaxy s300,Great phone!  East to transfer my info even from an S3.  Stick with Samsung.  Have an I-phone for work and the Galaxy S7 blows it away.,1/20/2017,Samsung S7,Hunter3967
Samsung Galaxy s301,Excellent product design and service in store provided by Josh. This requirement for a certain number of characters is ridiculous.  I will never respond to one of these requests again!,1/19/2017,Feedback on S7,Hank the Great
Samsung Galaxy s302,"This phone replaced a well-loved LG G3, so far,  it has been a great choice.  I love the features and it was an easy transition.",1/19/2017,Great device,Suzp
Samsung Galaxy s303,"Comfortable, classy looking, lovely functions, fits well in hand, tempered glass front, very easy to use",1/19/2017,"Great phone and really helpful, easy switch",Me and you two 9999999o
Samsung Galaxy s304,"I'm a fan of Samsung phones!  However more for the geek in mind. Try it, if you don't mind the challenge.",1/19/2017,First time user,Fiery
Samsung Galaxy s305,Love this phone and would (and do) recommend it to anyone looking to purchase a new phone:-)                             ;-),1/19/2017,Love the expandable memory! Put in 64 G...helps me a lot because I use my phone for my Uber and Lyft ride share business! Everything transferred over!,Carolines Galaxy 7
Samsung Galaxy s306,I think the s5 was cool but not as cool as the s7 better quality faster cool down speed built in flashlight,1/19/2017,new phone,davidr2002
Samsung Galaxy s307,trying to get into the smartphone age of doing things.had to have Granddaughter show me how to do somethings and i figured how to do others it is easy to use once i get started,1/19/2017,had a flipphone like this better,what do you want
Samsung Galaxy s308,Great Phone. I am very pleased with the S7. I came from iPhones and ios. The Samsung is head and shoulders above the iPhone. No issues switching to the android platform. Highly recommend. Only drawbacks are battery life could be a little better.,1/19/2017,Great Phone,Egrah
Samsung Galaxy s309,Easy to use.  Seamless transition from S5 to S7 and from previous provider to Verizon. Greattach new features.,1/18/2017,Great phone,cat3074
Samsung Galaxy s310,"I like the extras that are on this model, meaning less apps to download. I like the fast charging too.",1/18/2017,Very easy to get used to.,Moby Freckles
Samsung Galaxy s311,Easy to use. Good reps working at the store. Good selection of phone to choose from too.Switching to Verizon was easy.,1/18/2017,Good phone,land12
Samsung Galaxy s312,"This phone is fast, charges quickly, and runs well. Good size, love the features on it! And the gold color is awesome",1/18/2017,Awesome phone!,Dancnqueen90210
Samsung Galaxy s313,"great easy to use, nice features, great apps, nice transition from Motorola Mini Droid
lightweight, nice platinum color and clear protective case",1/18/2017,easy of use from old Mini droid to Samsung S7,The Connector
Samsung Galaxy s314,"I bought this about a week ago, and do far my experience is great. I love it, I would recommend this.",1/17/2017,Great phone,Brownxy
Samsung Galaxy s315,Great phone.  I had a Samsung 4 and this one is quite similar. Good quality photos and grsphics. Easy to use,1/17/2017,Great phone,FletcherCrowe
Samsung Galaxy s316,Enjoying my new phone and its performance. Easy to use and operate. Love the upgraded camera and new apps,1/17/2017,Great Features,Adroid1
Samsung Galaxy s317,Overall very good service. Cost could be better. Needs better/more towers in rural areas. Needs less expensive signal amplifiers for insulated homes/buildings.,1/16/2017,"Great phone, long lasting battery, bright screen",ALJB
Samsung Galaxy s318,Bought two weeks ago and am pleased with it.  It is a very good phone.  The staff was very helpful.  .,1/16/2017,Samsung Galaxy 7,Agrcowboy1
Samsung Galaxy s319,"Finally pulled the trigger and got the upgrade from my S5. Skipped the 6 because I don't like change, but finally I broke my screen and felt it was time. The S7 is really cool, not a huge fan of the price but it's no more expensive than any of the other leading phones I ordered  some of thes and can't wait to see some VR women!",1/22/2017,Nice!,Bornsavage1983
Samsung Galaxy s320,"I brought this for my wife for Christmas, but i play with more than she does.  Should have got one also.  Great phone.",1/15/2017,Samsung s7,sheplawn
Samsung Galaxy s321,Had to upgrade to this model after damaging my phone in a car accident I like this upgrade happy with it so far,1/15/2017,Good,752 Sweet pea
Samsung Galaxy s322,"After looking at all my options, I landed on the S7.  All the reviews were right, the phone is everything I expected and more.",1/15/2017,Great phone,MartyJV
Samsung Galaxy s323,Love it!  It's  pretty and has great features.  Easy to you for a non techy person.  Meets my needs perfectly.,1/16/2017,My Samsung Galaxy S7,Sharp59
Samsung Galaxy s324,"This is an amazing phone. First and foremost I love the customizability of it. It's quite literally a personal companion down to the nitty gritty. Transferring information from the iOS was easy too. Unlike iTunes, Samsung is made to be a compatible devise per each individual user. I love this phone. Obviously being waterproof is an outstanding perk. I used to think the battery life of the iOS was something to be proud of, but the galaxy s7 has a tremendous battery life and charges 100% faster. That helps so you don't go to bed with your phone plugged in and when it's done charging it doesn't just continually burn up the battery. You charge it as its needed and that's that. So far I have yet to find anything I dislike about the Samsung Galaxy s7. Highly recommend this phone.",1/14/2017,Transitioning from the iOS to the Samsung Galaxy s7 was much easier than I initially expected it to be.,GoGalaxybyBeefy
Samsung Galaxy s325,Upgraded my phone. Good choice. We have used Verizon since they came to TX. Would no think of using another phone.,1/14/2017,Great phone,Hope5215
Samsung Galaxy s326,I have had all of the SAMSUNG galaxy phones starting with the original all the way to the S7. I cannot wait for the S8. IPhone's suck!,1/14/2017,SAMSUNG all the way! Will never use another brand of phone!,InOut22408
Samsung Galaxy s327,"I have had my Galaxy S7 for less then a week now, and I have to admit - for the first 2 or 3 days I was pretty hesitant about keeping it.  However, I am now sold on the phone.  It can do so much more then my previous iPhone 6s and it has a lot more power behind it.  The switch over, which I thought was going to be very difficult, was actually pretty simple, and I was able to do it compleatly from home.  Yes, even switching over my contacts!",1/14/2017,Easy transition form the iPhone 6s,IntrepidSky
Samsung Galaxy s328,"I bought the phone a week ago, and I am so satisfied with the phone.  Excellent camera, and features.",1/14/2017,Great phone!,Sflores11
Samsung Galaxy s329,I love the Samsung Galaxy 7! I am so glad I chose this phone. It is easy to use and the features  are nice.,1/14/2017,LOVE IT!,DebbieM1970
Samsung Galaxy s330,Phone so far is good signal bars could be better. I was with at&the for 30 yes they got ridiculous they wouldn't fix the issue so I swithched,1/13/2017,So far good,Gregg15851
Samsung Galaxy s331,It's great. It's easier to use. There is more I can do on this phone. I don't have any complaints about the phone. Glade I got it.,1/13/2017,All the features,Sharon Douglas
Samsung Galaxy s332,Good phone.  Easy to operate.  Fast response.  Like that it's thinner.  Easier to enter pin number.  Would buy again.,1/13/2017,Like it,pbelle
Samsung Galaxy s333,Very happy I upgraded my phone. I would only change the curved sides on phone don't like that part of the phone.,1/14/2017,Easy transition from the galaxy s3,Countrymancrafter96
Samsung Galaxy s334,i just got this phone and it has amazing capabilities and smooth navigation through out the entire phone.,1/12/2017,Best phone,drbowling31
Samsung Galaxy s335,"I got my phone a couple of months ago after upgrading from the Galaxy S5 and have no problems with it. I can go a whole day without charging until night time and then there are days I do have to charge during the day. It all depends on how I use my phone. I have a lot of apps that was transferred from the Galaxy  S5 but haven't activate all of them. If I had activated all of them, then I would be charging my phone twice or more a day.  BTW  I like the new style charger because the the hardly feels hot to the touch.I do have minor complaints.
1- Not happy with a removable battery. It was the only I could shut off my other phones when they froze. This phone hasn't frozen so far.
2- Being made of glass. More of a risk of being cracked. That was one of the reasons why I didn't want the iPhone.
3- Needs sensitivity touch control when wearing gloves in the winter which they had on the Galaxy S5.
4- Needs voice commands when using a Bluetooth when driving. I had that command when I had a flip phone (I forgot which cell phone company had that. All I had to do was press the button on my Bluetooth and the voice commands came on.) so why can't a smart phone have it without going to the PlayStore and downloading Google Voice? It should be automatically programmed into the phone just like my old flip phone?Otherwise, I am very happy with the phone. It is very easy to use and Verizonwireless customer service is very helpful when I am in a jam.",1/12/2017,I Love My Phone!,beedee11126
Samsung Galaxy s336,Just switched from an iPhone 5c because of all the things I don't like about Apple. Wanted to give Android a try. I'm so glad that I did. I find it so much more user friendly and I'm really happy with it!,1/12/2017,I love my new phone!,Emma Jane
Samsung Galaxy s337,Absolutely love the color of my Galaxy S7 Edge and the size is perfect The transition from one phone to the next is very simple and easy to manipulate around,1/12/2017,Great features,Loop83
Samsung Galaxy s338,"The S7 is what I wanted when I bought my old S4!There are several advantages over my old S4. The responsiveness is vastly improved. The extra memory (32G vs 16G) allows for many more apps. I had hit the limit with the S4. The camera works the way that you would expect a good one to work. The one in the S4 was more often than not a disappointment. The S7 camera focuses nearly instantaneously and can be set to track and stay focused on the object (person, hawk flying, etc.). The delay in the S4 was always frustrating and it would often re-focus on the wrong object in the frame.One thing to be aware of is the need for a good protective cover. The phone is slippery! I purchased a Spigen cover with a protective plastic edge that both looks great and is functional. It does not cover the side buttons. I might switch to one like I had on the S4 that does cover the buttons because it is too easy to accidentally press the power button on the side and wake the phone, but that's in the personal preference area. The cover should have a ridge above the screen because on the S7 the glass sits proud of the edge, exposed in a drop.The battery life is much better than it is in the S4 as well.I can say that I haven't found anything negative to report on the S7 itself. I wouldn't have any other.",1/12/2017,Definitely an improvment over my S4.,dlr77
Samsung Galaxy s339,This phone has all the features I wanted plus more!  It's very easy to use and I'm very pleased with it.,1/12/2017,Great phone!,Shellybell
Samsung Galaxy s340,"Love the galaxy phones. I've had an s3, s5, and now s7. I also have a tab a. Great interface and dependability. The camera is crazy good.",1/12/2017,Galaxy series is the best,Attakid912
Samsung Galaxy s341,Easy transfer.  Love the folder feature to organize apps.  Very similar to older version so transition was user friendly.,1/12/2017,Great phone,heymom17
Samsung Galaxy s342,Great voice activated camera feature as well as voice activated phone features make this phone super easy to use.,1/12/2017,Love this phone.,Zazzle
Samsung Galaxy s343,Always owned a samsung they make a good reliable product would recommend the phone to anyone.Im sure the new one will be as good as the rest,1/12/2017,S7,RLF II
Samsung Galaxy s344,This phone is so easy to use.. Very fast at transferring my information from one phone to another.. It is a joy to use. I would recommend any one to get this phone.,1/12/2017,My Fantastic Phone,Aliwil
Samsung Galaxy s345,The S7 is great.  The upgrades to the camera are awesome. The low light camera is great.  The crispness of the images is excellent. The accessories we have for the Galaxy S5 work even better on the S7.,1/12/2017,Switching from a land line to a Galaxy S7,MarmotMike
Samsung Galaxy s346,"Old phone wearing out, needed a new one and am comfortable and satisfied with Samsung/ Verizon performance.",1/12/2017,Upgrade to New Samsung galaxy s7,GBEAU
Samsung Galaxy s347,Purchased this phone because our old Samsung phones (S3) batteries and this new phone has a lot more things that came with it. Great phone and are enjoying it.,1/12/2017,Great phone,ninja1902
Samsung Galaxy s348,"Runs great, not too big, service is always better than competing phone plans, I won't ever leave verizon!",1/12/2017,Great phone,LindsE92
Samsung Galaxy s349,I bought during the holidays. I absolutely love it. It was really easy to set up and really easy to use. It has great features on it.  I just wish I had gotten my free goggles that was suppose to come with it,1/12/2017,Easy to set up and use,Harkins0725
Samsung Galaxy s350,I bought during Thanks giving day. My new phone makes me happy.The new phone gave me new life. It looks like my friend.,1/11/2017,friendly phone,gracekim
Samsung Galaxy s351,This is by far the best phone I've ever used. Sorry apple. I think Samsung may have you beat here. Minimum of 100 characters?,1/11/2017,Amazing new features!,Mweed
Samsung Galaxy s352,"This phone is a little smaller than my s5, but it is a lot faster. The battery lasts about three hours longer. I'm very satisfied. It as worth the upgrade.",1/11/2017,Upgrade from my S5,Deforest
Samsung Galaxy s353,"The staff in Marshall MO is always willing to help with any questions I have, no matter how simple or complicated!  If they don't have an answer they will find a way to get it for you.",1/11/2017,Very easy to transfer apps to new phone,Grammy Marge
Samsung Galaxy s354,"Only had the phone a couple of weeks. Seems to be more that I learn daily with this phone. I was already using a galaxy s4, but wow what an awesome phone.",1/11/2017,Great phone!,Newele
Samsung Galaxy s355,I bought the 1st one about 3 weeks ago had to send in back due to flashlight not working. Took to local store they fixed worked one day. That is when I mailed it make in. They sent new phone so far so good. Have to wait and see.,1/10/2017,Samsung Galaxy  S7,Kattie56
Samsung Galaxy s356,I've always had the Samsung phone because of its features so was happy to upgrade to the S7. Happy with the larger screen and that it is water proof,1/10/2017,Great user friendly phone,1bdc
Samsung Galaxy s357,So far so good great features easy to use long battery life great screen graphics it just fits well in your hand.,1/10/2017,Good so far,Princeofdogs
Samsung Galaxy s358,Bought it for Christmas and it was easy to transfer all of my information including apps. To my new cell.,1/10/2017,Easy transition. Love the camera upgrade,Andrem07
Samsung Galaxy s359,"I bought this phone a few weeks ago as an upgrade for my Samsung note 4. I have had no issues, great phone!",1/10/2017,Easy transition from my note 4,Paige05
Samsung Galaxy s360,I bought this phone in January and love IT! The camera is wonderful and the phone is very easy to use.,1/10/2017,Great Phone! Easy to use.,ZnamSinger
Samsung Galaxy s361,"I upgraded from the Galaxy S3 which I loved, and am thrilled with the S7. I have absolutely no complaints. It is easy to use and the ringtones are loud enough to hear thru my bag or pocket. I love all the improvements since the S3 came out which was a great phone.",1/10/2017,Great Phone!!!,BXNYLULU
Samsung Galaxy s362,"With the Samsung Galzxy S7, Samsung finally gets some things right. Samsung went back to the SD storage card use and also made the phone quite water resistant. They also reworked the battery life to give longer battery life and the wireless charging feature is also available",1/10/2017,A Great Phone,Kurt B
Samsung Galaxy s363,"Phone has many easy to use features that I like for example; bluetooth connection to my cars system, messaging and phone calls made simple...screen is larger and easier to read.  Adding/removing apps has been made easier.  Camera is better.",1/10/2017,Easy transition from my old phone S3 to S7.,Art46
Samsung Galaxy s364,"This is my very first smartphone and the transition from a flip phone, although daunting, has been smooth with the help of tech support.  At first I began to believe that I was dumber then a smartphone but have adapted pretty well and really wish I would have done it sooner.",1/9/2017,.First smartphone,loucipher3
Samsung Galaxy s365,I brought this Samsung Galaxy S7 phone two weeks ago and I love it. It is easy to maneuver and operate. I love the apps and my phone.,1/9/2017,Love my phone,Msladylawson
Samsung Galaxy s366,"This is my 1st smart phone and I love it.  When I haven't been able to find out how to do things, I either found it in settings, or went online on my laptop and googled my question, and was able to find my answer.",1/9/2017,I love my phone.,Do not know what this is
Samsung Galaxy s367,I had a Samsung s5 didn't think I would ever like another phone as I did that one. However the s7 is just as amazing if not better. I love the camera and how I can set themes to match my style. Super easy to use. And fast charging!,1/9/2017,Amazing phone,Chels7788
Samsung Galaxy s368,I went from the Galaxy S4 to the S7 and the transition was so easy. I love the updated features and ease of navigation.,1/9/2017,Awesome upgrade,Dbranson
Samsung Galaxy s369,"I've only had the phone for 2 weeks, but so far I love it. I had a Samsung Galaxy S4 mini for almost 3 years, so it was definitely time for an upgrade! It was an easy transition from one phone to another, and I really like the functionality of the OS. The camera is terrific! I use my phone to document all the family memories, so a good camera is a must for me.",1/9/2017,Another great Samsung phone,Galaxy S7 user
Samsung Galaxy s370,"Excellent design, easy to maneuver. Very satisfied customers. Will recommend phone to all my friends and family members",1/9/2017,"Excellent design, easy to maneuver. Very satisfied customer. Great color selection. Will recommend the phone to all friends and family members.",Cheflatino
Samsung Galaxy s371,So much better then my lgG3. I love the Samsung pay feature and the lightning fast camera. Can't wait to try it out with the gear VR!,1/9/2017,Awesome camera and some really cool features.,Gastonia j3
Samsung Galaxy s372,I always hate changing phones but this was a seamless process.  I was able to complete the process for both my husband and myself with very little effort.,1/8/2017,Super easy transition,Judy P
Samsung Galaxy s373,Thought just would never change from the iPhone to a galaxy but it's the best decision I have made when picking out phones.,1/8/2017,Great Phone,Christi669
Samsung Galaxy s374,"I've been using it since just after it came out. Got 2 for my daughters just recently. I like the GearVR although I don't use it much, like that it plays games well. Big enough screen for that and movies without getting to be ridiculous.
Only gripe is that I wish they'd add a speaker to the top though for stereo.",1/8/2017,"Love it, work and play",KenKofDF
Samsung Galaxy s375,I transfered over this phone from another carrier. Loving the compact stylish look. Always reliable and easy to use.,1/8/2017,Awesome phone,Glennrosa196054
Samsung Galaxy s376,"I had to buy a new phone as my puppy ate my S5; funny now, not so funny then.  I have  been very pleased with my new phone.  Operationally, it is almost identical to my S5 which I liked very much.  The transition went well with the exception of the transfer of my calendar; some of the appointments were lost.  Other than that, I am very satisfied.  The battery life could be a little better, but I can easily get through the day on a full charge.  I was disappointed that the new phone did not come with a car charger.  I was informed that my S5 charger would work in so far as powering the phone, but would not be able to charge it.  I felt that the car charger should have come with the new phone.",1/8/2017,Easy transition,Jackman71
Samsung Galaxy s377,"I am so glad that i upgraded to the s7 i did not know of all the essentials it had. Very useful, entertaining and effective for work and personal",1/8/2017,Awesome,AmsPhilip
Samsung Galaxy s378,Great phone but need to find a way to include a stylist or another format of taking notes.  More options,1/6/2017,Great phone easy to transfer to,Scuba steve
Samsung Galaxy s379,"Bought this phone just the other day and was glad to do so. Great choice, the quality is great and is easy to understand.",1/6/2017,"Easy access, great quality",VerizonUser001
Samsung Galaxy s380,Awesome phone. I just don't like that the battery dies rather quick... charges up fast. Awesome room,1/9/2017,Good phone... battery life... needs improvement,Zanoline
Samsung Galaxy s381,I just purchased this phone over the holidays and I'm glad that I did. It's pretty easy to use. I love the camera,1/6/2017,Love it,Lilaka
Samsung Galaxy s382,Great phone I wish I had bought it sooner.It has a great camera and the sound is louder which I like. Very easy to use.,1/6/2017,great camera and easy to use,Wellsd48
Samsung Galaxy s383,"This was my 2 year upgrade.   I had the Galaxy S5 previously and loved it.  I love the Galaxy S7 even more.  The sound is clearer, my photos are sharper, and best of all the screen is larger.",1/6/2017,This phone has everything you need!,Idaho Lady
Samsung Galaxy s384,"This is my second smartphone and I was dreading getting a new one because of the difficulty I had getting used to the first one. This one took a while (1-2 weeks) for me to customize it, but it was pretty easy to figure out how to use it and get used to it .  The battery is great, it's extremely easy to get to the common settings, such as turning data/wifi/bluetooth on and off, there are lots of options for customization, and mostly things are easy to do.  The only thing I miss is a normal telephone ringtone that is fairly loud, but so far what I've chosen is working out.",1/6/2017,I like this phone a lot!,happygrandma1
Samsung Galaxy s385,Got this phone as my up grade and I'm glad I did! Still learning how to do everything on the phone but once I do I know it will be everything I want!,1/6/2017,Great features!,tntfiore2
Samsung Galaxy s386,I just bought this phone about a week ago and am very pleased with it. Very easy to use and a nice size.,1/6/2017,Love all of the new updated features.,Opal107p
Samsung Galaxy s387,"It was an easy switch from my last phone, also a Samsung, will good features and battery life. It is a little overloaded with bloat ware so you might spend some time disabling or removing applications.",1/6/2017,Nice phone,Koun Ryu
Samsung Galaxy s388,"Bought this phone for my wife, she had a S-4 and pretty much wanted to throw it out the window. Now she is a happy wife again. Like they say ""A happy wife, happy life"".",1/6/2017,Happy wife,bambam66
Samsung Galaxy s389,"I am very impressed with the quality of this phone! Crystal clear and extremely detailed screen, sleek and sexy design of the phone, and easy to use buttons and touchscreen. Samsung puts out in my opinion the best in tech. This s quality that you know will last a while. Additionaly, the phone works super fast!  This phone loads up apps and wbesites faster than my laptop, even when im using data and not just my wifi. And the Always On Display is really convienant. 10/10, will continue to buy samsung devices. Very impressed!",1/6/2017,A phone you know is quality!,Jboblue
Samsung Galaxy s390,"I bought the product on December 26, 2016, and I love it.  I am especially pleased with the strong signal.",1/5/2017,So far I satisfied with the product.,sackie5
Samsung Galaxy s391,I bought it last month it works really good the plan is chose is awesome. I also got my husband one as well,1/5/2017,Great phone,Hubbie
Samsung Galaxy s392,I really enjoy my new phone. I got it as a Christmas gift right after Christmas and I really love it! It is really easy to use and it was an easy transition from my S5. I like how light and sleek it is compared to my old phone. I'm glad I bought it!,1/5/2017,Easy to use and sleek,smithej620
Samsung Galaxy s393,Nice phone a lot of kool features,1/5/2017,Love the design,Rdc97
Samsung Galaxy s394,She loves the widgets and games!,1/5/2017,Great for my tween's first phone!,Minda25
Samsung Galaxy s395,greaT PHONE EASY TO USE,1/5/2017,love my phone,ASHLIZBETH
Samsung Galaxy s396,"I was using a Galaxy Note 3 that was functioning, but only at about 70% (battery not holding charge; screen cracked; apps not responsive sometimes). But now that I have crossed over, I couldn't be happier.  The new S7 has a smaller screen, but with the improved resolution, you wouldn't know. It is bright, quick and had a minimal learning curve for me coming from the Note 3. We have extremely poor signal at home, but the Verizon folks were able to assist with activation by ""pushing"" to me so I didn't need to leave home.",1/5/2017,Glad I made the move!,jnzdogs
Samsung Galaxy s397,Very intuitive. Does most everything I can think of. A replaceable battery woudl make it perfect.,1/5/2017,Great so far.............,Ronald Trump
Samsung Galaxy s398,"I received the Samsung Galaxy S7 for Christmas and I've never used a smartphone before.  It is so easy to learn this phone and to use the features. I was afraid of the new technology, but am no longer....I love it",1/4/2017,Wonderful Christmas gift!!!,JudyCfromVA
Samsung Galaxy s399,great upgrade from Samsung galaxy s5,1/4/2017,way better than iphone,estebomb
Samsung Galaxy s400,i had a basic phone. my sin saud time for the twenty first century! so i have the. phone,1/5/2017,Christmas present,mousserat
Samsung Galaxy s401,love  the Samsung Galaxy 7,1/4/2017,love my Samsung Galaxy 7,jlaing123
Samsung Galaxy s402,great phone still learning all it can do,1/4/2017,First upgrade in 12 years,dimickh
Samsung Galaxy s403,Easy to function. Great camera,1/4/2017,Easy to use,Dahler
Samsung Galaxy s404,My husband got me this phone for Christmas and I am so pleased with it.,1/4/2017,Excellent phone!,Debg5
Samsung Galaxy s405,"I needed a new phone and this was a great deal and the sales guy was great, took the time to explain the plan to me and took the time to move my info.",1/4/2017,very easy to move my information to my new phone from my old one since they did it at the store.,jenjenlink
Samsung Galaxy s406,"Great, great great great",1/4/2017,Great,Btchiefs
Samsung Galaxy s407,Absolutely  love it. My first smartphone. Easy to use. No difficulty with any of the apps.,1/4/2017,So happy.,Granma53
Samsung Galaxy s408,This is the third s7 I have  purchased for my family. Awesome phone.,1/4/2017,Great phone,Noneofyour
Samsung Galaxy s409,"The new S7 is the best ,pictures and features could not be better.",1/4/2017,Terrific phone. Reception at home is not too good! Everywhere else couldn't be better.,Magic 719
Samsung Galaxy s410,I have had my S7 for about 2 weeks and I think it just builds on the S4 that I had.  The camera is outstanding and the phone is so easy to use.,1/4/2017,Great upgrade from my S4,Kneeman
Samsung Galaxy s411,Just awesome. Love to take pics,1/4/2017,Great phone,Unclechoo
Samsung Galaxy s412,"Great phone , user friendly",1/4/2017,Love Samsung Galaxy phones,Mcjonsey
Samsung Galaxy s413,only downside is the non-removable battery.,1/4/2017,The Galaxy continues to be the best phone out there.,kopper
Samsung Galaxy s414,Got the phone last week and i love it. Verizon is the best,1/3/2017,Grear phone and great service,Monstergt88
Samsung Galaxy s415,Just had it a few days.So lam still getting used to it.It get better every min.,1/3/2017,GREAT PHONE,James Brown
Samsung Galaxy s416,Got this phone on Christmas special other wise I would not of switched. Had a flip phone. Now that I have I am enjoying the features of it and all the new posibilities that can be in store with it.,1/3/2017,Great features was easy transition from flip phone,Mike 2016
Samsung Galaxy s417,Phone is okay..haven't really found anything that bothers me.,1/3/2017,Easy to use,Bjm3
Samsung Galaxy s418,Easy to use and functional,1/3/2017,Easy,iPhone users
Samsung Galaxy s419,Putting the removable memory back in and adding water resistance were the two most important things the S6 lacked. The S7 is much better than the excellent S6,1/3/2017,The right new features from the S6,kimorey
Samsung Galaxy s420,I been with Samsung phones for 3+ years..and will continue.,1/3/2017,Samsung is the best!,Spartan4real
Samsung Galaxy s421,"My last phone was from a different era, so I am really appreciating the improved photography, the much longer battery life and fast charging ability.  The capability of this phone is unbelievable.  I don't think this phone is preloaded with as many useless apps as my last phone.",1/3/2017,This phone is a joy to use.,trguy76
Samsung Galaxy s422,I got this phone for my wife and she loves it. A definite improvement over the Galaxy S6. So are so good!,1/3/2017,Great Phone!,JDWOO999
Samsung Galaxy s423,Only had this phone for one week. Took too long to port my number due some typos.,1/3/2017,Had phone since Christmas,Gml7
Samsung Galaxy s424,I've only had my phone a little over a week but so far I've glad I upgraded from a Galaxy S3 to a Galaxy S7!,1/3/2017,Fairly easy transition but am still learning stuff on it!,penpin
Samsung Galaxy s425,"Lost a lot of our contacts, after we purchased the the new phones!",1/3/2017,Nice phone,Eyesofblue
Samsung Galaxy s426,Very happy with the phone.,1/3/2017,Working great.,Seped3
Samsung Galaxy s427,Just bought this and am loving all of the new features!,1/3/2017,Very easy transition from previous phone!,Jpace
Samsung Galaxy s428,Purchased only 1 week ago.,1/3/2017,"Good features, still learning new technology",PLP728
Samsung Galaxy s429,Nice camera and other features.,1/3/2017,Nice upgrade from the S5,Pops1964
Samsung Galaxy s430,"Was looking to upgrade my wife's Moto G to something with more memory. 32GB and a large screen! She loves it! As for me, I'm an apple guy.",1/3/2017,Excellent gift for my awesome wife!!,Casparling1971
Samsung Galaxy s431,I have a Galaxy S4 and it was time for an upgrade to the Galaxy S7 and I love it,1/2/2017,"Love my new Galaxy S7 ""easy setup""",Kevin J
Samsung Galaxy s432,Nothing to add yet have only had it 2 weeks,1/2/2017,My New GalaxyS7,Don 11
Samsung Galaxy s433,"Upgrade to my S6. So far, so good. Battery life greatly improved.",1/2/2017,Upgrade from S6,alm360
Samsung Galaxy s434,I bought this phone a few weeks ago and am thoroughly pleased with it.  It took the previous apps and features and made them that much better.,1/2/2017,Great Phone.  Easy transition from previous phone.,tnoff01
Samsung Galaxy s435,"I really like Samsung devices, especially the Galaxy series",1/2/2017,New phone/new carrier,Annette7
